,G,Date,Start (ET),Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
0,1,"Wed, Oct 25, 2023",7:00p,New York Knicks,W,108,104,1,0,W 1,19812,2:39,2024,BOS
1,2,"Fri, Oct 27, 2023",7:30p,Miami Heat,W,119,111,2,0,W 2,19156,2:20,2024,BOS
2,3,"Mon, Oct 30, 2023",7:00p,Washington Wizards,W,126,107,3,0,W 3,17898,2:06,2024,BOS
3,4,"Wed, Nov 1, 2023",7:30p,Indiana Pacers,W,155,104,4,0,W 4,19156,2:03,2024,BOS
4,5,"Sat, Nov 4, 2023",8:00p,Brooklyn Nets,W,124,114,5,0,W 5,17983,2:10,2024,BOS
5,6,"Mon, Nov 6, 2023",8:00p,Minnesota Timberwolves,L,109,114,5,1,L 1,18024,2:40,2024,BOS
6,7,"Wed, Nov 8, 2023",7:00p,Philadelphia 76ers,L,103,106,5,2,L 2,19953,2:11,2024,BOS
7,8,"Fri, Nov 10, 2023",7:30p,Brooklyn Nets,W,121,107,6,2,W 1,19156,2:11,2024,BOS
8,9,"Sat, Nov 11, 2023",7:00p,Toronto Raptors,W,117,94,7,2,W 2,19156,2:04,2024,BOS
9,10,"Mon, Nov 13, 2023",7:30p,New York Knicks,W,114,98,8,2,W 3,19156,2:11,2024,BOS
10,11,"Wed, Nov 15, 2023",7:30p,Philadelphia 76ers,W,117,107,9,2,W 4,19773,2:10,2024,BOS
11,12,"Fri, Nov 17, 2023",7:30p,Toronto Raptors,W,108,105,10,2,W 5,19800,2:02,2024,BOS
12,13,"Sun, Nov 19, 2023",8:00p,Memphis Grizzlies,W,102,100,11,2,W 6,17798,2:08,2024,BOS
13,14,"Mon, Nov 20, 2023",7:00p,Charlotte Hornets,L,118,121,11,3,L 1,19134,2:19,2024,BOS
14,15,"Wed, Nov 22, 2023",7:30p,Milwaukee Bucks,W,119,116,12,3,W 1,19156,2:13,2024,BOS
15,16,"Fri, Nov 24, 2023",2:30p,Orlando Magic,L,96,113,12,4,L 1,18846,2:17,2024,BOS
16,17,"Sun, Nov 26, 2023",6:00p,Atlanta Hawks,W,113,103,13,4,W 1,19156,2:08,2024,BOS
17,18,"Tue, Nov 28, 2023",7:30p,Chicago Bulls,W,124,97,14,4,W 2,19156,2:01,2024,BOS
18,19,"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,W,125,119,15,4,W 3,19156,2:25,2024,BOS
19,20,"Mon, Dec 4, 2023",7:30p,Indiana Pacers,L,112,122,15,5,L 1,16693,2:14,2024,BOS
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BOS
21,21,"Fri, Dec 8, 2023",7:30p,New York Knicks,W,133,123,16,5,W 1,19156,2:16,2024,BOS
22,22,"Tue, Dec 12, 2023",7:30p,Cleveland Cavaliers,W,120,113,17,5,W 2,19156,2:02,2024,BOS
23,23,"Thu, Dec 14, 2023",7:30p,Cleveland Cavaliers,W,116,107,18,5,W 3,19156,2:07,2024,BOS
24,24,"Fri, Dec 15, 2023",7:30p,Orlando Magic,W,128,111,19,5,W 4,19156,2:06,2024,BOS
25,25,"Sun, Dec 17, 2023",3:00p,Orlando Magic,W,114,97,20,5,W 5,19156,2:10,2024,BOS
26,26,"Tue, Dec 19, 2023",10:00p,Golden State Warriors,L,126,132,20,6,L 1,18064,2:25,2024,BOS
27,27,"Wed, Dec 20, 2023",10:00p,Sacramento Kings,W,144,119,21,6,W 1,17874,2:11,2024,BOS
28,28,"Sat, Dec 23, 2023",3:30p,Los Angeles Clippers,W,145,108,22,6,W 2,19370,2:09,2024,BOS
29,29,"Mon, Dec 25, 2023",5:00p,Los Angeles Lakers,W,126,115,23,6,W 3,18997,2:17,2024,BOS
30,30,"Thu, Dec 28, 2023",7:30p,Detroit Pistons,W,128,122,24,6,W 4,19156,2:31,2024,BOS
31,31,"Fri, Dec 29, 2023",7:30p,Toronto Raptors,W,120,118,25,6,W 5,19156,2:14,2024,BOS
32,32,"Sun, Dec 31, 2023",7:00p,San Antonio Spurs,W,134,101,26,6,W 6,18886,1:57,2024,BOS
33,33,"Tue, Jan 2, 2024",8:00p,Oklahoma City Thunder,L,123,127,26,7,L 1,18203,2:16,2024,BOS
34,34,"Fri, Jan 5, 2024",7:00p,Utah Jazz,W,126,97,27,7,W 1,19156,2:10,2024,BOS
35,35,"Sat, Jan 6, 2024",7:00p,Indiana Pacers,W,118,101,28,7,W 2,17274,2:11,2024,BOS
36,36,"Mon, Jan 8, 2024",7:00p,Indiana Pacers,L,131,133,28,8,L 1,16009,2:24,2024,BOS
37,37,"Wed, Jan 10, 2024",7:00p,Minnesota Timberwolves,W,127,120,29,8,W 1,19156,2:37,2024,BOS
38,38,"Thu, Jan 11, 2024",7:30p,Milwaukee Bucks,L,102,135,29,9,L 1,17781,2:12,2024,BOS
39,39,"Sat, Jan 13, 2024",7:00p,Houston Rockets,W,145,113,30,9,W 1,19156,2:06,2024,BOS
40,40,"Mon, Jan 15, 2024",7:30p,Toronto Raptors,W,105,96,31,9,W 2,19278,2:06,2024,BOS
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BOS
42,41,"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,W,117,98,32,9,W 3,19156,2:00,2024,BOS
43,42,"Fri, Jan 19, 2024",7:30p,Denver Nuggets,L,100,102,32,10,L 1,19156,2:12,2024,BOS
44,43,"Sun, Jan 21, 2024",7:00p,Houston Rockets,W,116,107,33,10,W 1,18055,2:09,2024,BOS
45,44,"Mon, Jan 22, 2024",8:30p,Dallas Mavericks,W,119,110,34,10,W 2,20277,2:07,2024,BOS
46,45,"Thu, Jan 25, 2024",7:30p,Miami Heat,W,143,110,35,10,W 3,20074,2:02,2024,BOS
47,46,"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,L,96,115,35,11,L 1,19156,2:03,2024,BOS
48,47,"Mon, Jan 29, 2024",7:30p,New Orleans Pelicans,W,118,112,36,11,W 1,19156,2:08,2024,BOS
49,48,"Tue, Jan 30, 2024",7:30p,Indiana Pacers,W,129,124,37,11,W 2,19156,2:25,2024,BOS
50,49,"Thu, Feb 1, 2024",7:30p,Los Angeles Lakers,L,105,114,37,12,L 1,19156,2:13,2024,BOS
51,50,"Sun, Feb 4, 2024",6:00p,Memphis Grizzlies,W,131,91,38,12,W 1,19156,1:57,2024,BOS
52,51,"Wed, Feb 7, 2024",7:30p,Atlanta Hawks,W,125,117,39,12,W 2,19156,1:58,2024,BOS
53,52,"Fri, Feb 9, 2024",7:30p,Washington Wizards,W,133,129,40,12,W 3,19156,2:14,2024,BOS
54,53,"Sun, Feb 11, 2024",2:00p,Miami Heat,W,110,106,41,12,W 4,20049,2:21,2024,BOS
55,54,"Tue, Feb 13, 2024",7:30p,Brooklyn Nets,W,118,110,42,12,W 5,18053,2:14,2024,BOS
56,55,"Wed, Feb 14, 2024",7:30p,Brooklyn Nets,W,136,86,43,12,W 6,19156,1:54,2024,BOS
57,56,"Thu, Feb 22, 2024",8:00p,Chicago Bulls,W,129,112,44,12,W 7,20313,2:03,2024,BOS
58,57,"Sat, Feb 24, 2024",8:30p,New York Knicks,W,116,102,45,12,W 8,19812,2:07,2024,BOS
59,58,"Tue, Feb 27, 2024",7:30p,Philadelphia 76ers,W,117,99,46,12,W 9,19156,2:16,2024,BOS
60,59,"Fri, Mar 1, 2024",7:30p,Dallas Mavericks,W,138,110,47,12,W 10,19156,2:08,2024,BOS
61,60,"Sun, Mar 3, 2024",3:30p,Golden State Warriors,W,140,88,48,12,W 11,19156,2:07,2024,BOS
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BOS
63,61,"Tue, Mar 5, 2024",7:30p,Cleveland Cavaliers,L,104,105,48,13,L 1,19432,2:11,2024,BOS
64,62,"Thu, Mar 7, 2024",10:00p,Denver Nuggets,L,109,115,48,14,L 2,19855,2:24,2024,BOS
65,63,"Sat, Mar 9, 2024",8:30p,Phoenix Suns,W,117,107,49,14,W 1,17071,2:12,2024,BOS
66,64,"Mon, Mar 11, 2024",10:30p,Portland Trail Blazers,W,121,99,50,14,W 2,18480,1:53,2024,BOS
67,65,"Tue, Mar 12, 2024",9:00p,Utah Jazz,W,123,107,51,14,W 3,18206,2:00,2024,BOS
68,66,"Thu, Mar 14, 2024",7:30p,Phoenix Suns,W,127,112,52,14,W 4,19156,2:02,2024,BOS
69,67,"Sun, Mar 17, 2024",6:00p,Washington Wizards,W,130,104,53,14,W 5,20333,2:12,2024,BOS
70,68,"Mon, Mar 18, 2024",7:30p,Detroit Pistons,W,119,94,54,14,W 6,19156,1:53,2024,BOS
71,69,"Wed, Mar 20, 2024",7:30p,Milwaukee Bucks,W,122,119,55,14,W 7,19156,2:24,2024,BOS
72,70,"Fri, Mar 22, 2024",7:00p,Detroit Pistons,W,129,102,56,14,W 8,19994,1:59,2024,BOS
73,71,"Sat, Mar 23, 2024",8:00p,Chicago Bulls,W,124,113,57,14,W 9,21198,2:00,2024,BOS
74,72,"Mon, Mar 25, 2024",7:30p,Atlanta Hawks,L,118,120,57,15,L 1,17405,2:11,2024,BOS
75,73,"Thu, Mar 28, 2024",7:30p,Atlanta Hawks,L,122,123,57,16,L 2,17743,2:24,2024,BOS
76,74,"Sat, Mar 30, 2024",5:00p,New Orleans Pelicans,W,104,92,58,16,W 1,17932,2:01,2024,BOS
77,75,"Mon, Apr 1, 2024",7:00p,Charlotte Hornets,W,118,104,59,16,W 2,19238,1:54,2024,BOS
78,76,"Wed, Apr 3, 2024",7:30p,Oklahoma City Thunder,W,135,100,60,16,W 3,19156,2:14,2024,BOS
79,77,"Fri, Apr 5, 2024",7:30p,Sacramento Kings,W,101,100,61,16,W 4,19156,2:03,2024,BOS
80,78,"Sun, Apr 7, 2024",6:00p,Portland Trail Blazers,W,124,107,62,16,W 5,19156,1:51,2024,BOS
81,79,"Tue, Apr 9, 2024",7:30p,Milwaukee Bucks,L,91,104,62,17,L 1,17493,1:57,2024,BOS
82,80,"Thu, Apr 11, 2024",7:30p,New York Knicks,L,109,118,62,18,L 2,19156,2:04,2024,BOS
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,BOS
84,81,"Fri, Apr 12, 2024",7:30p,Charlotte Hornets,W,131,98,63,18,W 1,19156,1:56,2024,BOS
85,82,"Sun, Apr 14, 2024",1:00p,Washington Wizards,W,132,122,64,18,W 2,19156,2:01,2024,BOS
0,1,"Wed, Oct 25, 2023",7:00p,Boston Celtics,L,104,108,0,1,L 1,19812,2:39,2024,NYK
1,2,"Fri, Oct 27, 2023",7:30p,Atlanta Hawks,W,126,120,1,1,W 1,17692,2:11,2024,NYK
2,3,"Sat, Oct 28, 2023",7:00p,New Orleans Pelicans,L,87,96,1,2,L 1,16331,2:08,2024,NYK
3,4,"Tue, Oct 31, 2023",7:30p,Cleveland Cavaliers,W,109,91,2,2,W 1,19432,2:14,2024,NYK
4,5,"Wed, Nov 1, 2023",7:30p,Cleveland Cavaliers,L,89,95,2,3,L 1,19812,2:22,2024,NYK
5,6,"Fri, Nov 3, 2023",7:30p,Milwaukee Bucks,L,105,110,2,4,L 2,17717,2:37,2024,NYK
6,7,"Mon, Nov 6, 2023",7:30p,Los Angeles Clippers,W,111,97,3,4,W 1,19812,2:09,2024,NYK
7,8,"Wed, Nov 8, 2023",7:30p,San Antonio Spurs,W,126,105,4,4,W 2,19812,2:12,2024,NYK
8,9,"Sun, Nov 12, 2023",12:00p,Charlotte Hornets,W,129,107,5,4,W 3,19812,2:09,2024,NYK
9,10,"Mon, Nov 13, 2023",7:30p,Boston Celtics,L,98,114,5,5,L 1,19156,2:11,2024,NYK
10,11,"Wed, Nov 15, 2023",7:30p,Atlanta Hawks,W,116,114,6,5,W 1,17060,2:17,2024,NYK
11,12,"Fri, Nov 17, 2023",7:00p,Washington Wizards,W,120,99,7,5,W 2,16886,2:18,2024,NYK
12,13,"Sat, Nov 18, 2023",6:00p,Charlotte Hornets,W,122,108,8,5,W 3,19171,2:02,2024,NYK
13,14,"Mon, Nov 20, 2023",8:00p,Minnesota Timberwolves,L,100,117,8,6,L 1,18024,2:19,2024,NYK
14,15,"Fri, Nov 24, 2023",7:30p,Miami Heat,W,100,98,9,6,W 1,19812,2:18,2024,NYK
15,16,"Sun, Nov 26, 2023",6:00p,Phoenix Suns,L,113,116,9,7,L 1,19812,2:25,2024,NYK
16,17,"Tue, Nov 28, 2023",7:30p,Charlotte Hornets,W,115,91,10,7,W 1,19111,2:03,2024,NYK
17,18,"Thu, Nov 30, 2023",7:30p,Detroit Pistons,W,118,112,11,7,W 2,19812,2:18,2024,NYK
18,19,"Fri, Dec 1, 2023",7:30p,Toronto Raptors,W,119,106,12,7,W 3,19800,2:13,2024,NYK
19,20,"Tue, Dec 5, 2023",7:30p,Milwaukee Bucks,L,122,146,12,8,L 1,17448,2:21,2024,NYK
20,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,NYK
21,21,"Fri, Dec 8, 2023",7:30p,Boston Celtics,L,123,133,12,9,L 2,19156,2:16,2024,NYK
22,22,"Mon, Dec 11, 2023",7:30p,Toronto Raptors,W,136,130,13,9,W 1,19812,2:21,2024,NYK
23,23,"Wed, Dec 13, 2023",9:00p,Utah Jazz,L,113,117,13,10,L 1,18206,2:29,2024,NYK
24,24,"Fri, Dec 15, 2023",10:00p,Phoenix Suns,W,139,122,14,10,W 1,17071,2:23,2024,NYK
25,25,"Sat, Dec 16, 2023",10:30p,Los Angeles Clippers,L,122,144,14,11,L 1,19370,2:15,2024,NYK
26,26,"Mon, Dec 18, 2023",10:30p,Los Angeles Lakers,W,114,109,15,11,W 1,18997,2:16,2024,NYK
27,27,"Wed, Dec 20, 2023",7:30p,Brooklyn Nets,W,121,102,16,11,W 2,18071,2:12,2024,NYK
28,28,"Sat, Dec 23, 2023",12:30p,Milwaukee Bucks,L,111,130,16,12,L 1,19812,2:11,2024,NYK
29,29,"Mon, Dec 25, 2023",12:00p,Milwaukee Bucks,W,129,122,17,12,W 1,19812,2:23,2024,NYK
30,30,"Wed, Dec 27, 2023",8:00p,Oklahoma City Thunder,L,120,129,17,13,L 1,18203,2:16,2024,NYK
31,31,"Fri, Dec 29, 2023",7:00p,Orlando Magic,L,108,117,17,14,L 2,19587,2:31,2024,NYK
32,32,"Sat, Dec 30, 2023",7:00p,Indiana Pacers,L,126,140,17,15,L 3,17274,2:14,2024,NYK
33,33,"Mon, Jan 1, 2024",3:00p,Minnesota Timberwolves,W,112,106,18,15,W 1,19812,2:28,2024,NYK
34,34,"Wed, Jan 3, 2024",8:30p,Chicago Bulls,W,116,100,19,15,W 2,19812,2:13,2024,NYK
35,35,"Fri, Jan 5, 2024",7:30p,Philadelphia 76ers,W,128,92,20,15,W 3,20461,2:21,2024,NYK
36,36,"Sat, Jan 6, 2024",7:00p,Washington Wizards,W,121,105,21,15,W 4,20333,2:10,2024,NYK
37,37,"Tue, Jan 9, 2024",7:30p,Portland Trail Blazers,W,112,84,22,15,W 5,19812,2:04,2024,NYK
38,38,"Thu, Jan 11, 2024",8:30p,Dallas Mavericks,L,124,128,22,16,L 1,20040,2:24,2024,NYK
39,39,"Sat, Jan 13, 2024",8:00p,Memphis Grizzlies,W,106,94,23,16,W 1,16598,2:02,2024,NYK
40,40,"Mon, Jan 15, 2024",3:00p,Orlando Magic,L,94,98,23,17,L 1,19812,2:16,2024,NYK
41,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,NYK
42,41,"Wed, Jan 17, 2024",7:30p,Houston Rockets,W,109,94,24,17,W 1,19439,2:15,2024,NYK
43,42,"Thu, Jan 18, 2024",7:30p,Washington Wizards,W,113,109,25,17,W 2,19466,2:24,2024,NYK
44,43,"Sat, Jan 20, 2024",7:30p,Toronto Raptors,W,126,100,26,17,W 3,19812,2:11,2024,NYK
45,44,"Tue, Jan 23, 2024",7:30p,Brooklyn Nets,W,108,103,27,17,W 4,17732,2:12,2024,NYK
46,45,"Thu, Jan 25, 2024",7:30p,Denver Nuggets,W,122,84,28,17,W 5,19812,2:05,2024,NYK
47,46,"Sat, Jan 27, 2024",3:00p,Miami Heat,W,125,109,29,17,W 6,19812,2:23,2024,NYK
48,47,"Mon, Jan 29, 2024",7:00p,Charlotte Hornets,W,113,92,30,17,W 7,15546,2:03,2024,NYK
49,48,"Tue, Jan 30, 2024",7:30p,Utah Jazz,W,118,103,31,17,W 8,19133,,2024,NYK
50,49,"Thu, Feb 1, 2024",7:30p,Indiana Pacers,W,109,105,32,17,W 9,19812,2:17,2024,NYK
51,50,"Sat, Feb 3, 2024",8:30p,Los Angeles Lakers,L,105,113,32,18,L 1,19812,2:18,2024,NYK
52,51,"Tue, Feb 6, 2024",7:30p,Memphis Grizzlies,W,123,113,33,18,W 1,19013,2:05,2024,NYK
53,52,"Thu, Feb 8, 2024",7:30p,Dallas Mavericks,L,108,122,33,19,L 1,19812,2:12,2024,NYK
54,53,"Sat, Feb 10, 2024",7:30p,Indiana Pacers,L,111,125,33,20,L 2,19812,2:06,2024,NYK
55,54,"Mon, Feb 12, 2024",8:00p,Houston Rockets,L,103,105,33,21,L 3,16790,2:22,2024,NYK
56,55,"Wed, Feb 14, 2024",7:00p,Orlando Magic,L,100,118,33,22,L 4,19259,2:08,2024,NYK
57,56,"Thu, Feb 22, 2024",7:00p,Philadelphia 76ers,W,110,96,34,22,W 1,21094,2:13,2024,NYK
58,57,"Sat, Feb 24, 2024",8:30p,Boston Celtics,L,102,116,34,23,L 1,19812,2:07,2024,NYK
59,58,"Mon, Feb 26, 2024",7:30p,Detroit Pistons,W,113,111,35,23,W 1,19303,2:07,2024,NYK
60,59,"Tue, Feb 27, 2024",7:30p,New Orleans Pelicans,L,92,115,35,24,L 1,19812,2:09,2024,NYK
61,60,"Thu, Feb 29, 2024",7:30p,Golden State Warriors,L,99,110,35,25,L 2,19812,2:18,2024,NYK
62,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,NYK
63,61,"Sun, Mar 3, 2024",7:00p,Cleveland Cavaliers,W,107,98,36,25,W 1,19432,2:07,2024,NYK
64,62,"Tue, Mar 5, 2024",7:30p,Atlanta Hawks,L,100,116,36,26,L 1,19812,2:07,2024,NYK
65,63,"Fri, Mar 8, 2024",7:30p,Orlando Magic,W,98,74,37,26,W 1,19812,2:03,2024,NYK
66,64,"Sun, Mar 10, 2024",7:00p,Philadelphia 76ers,L,73,79,37,27,L 1,19812,2:18,2024,NYK
67,65,"Tue, Mar 12, 2024",7:30p,Philadelphia 76ers,W,106,79,38,27,W 1,19812,2:11,2024,NYK
68,66,"Thu, Mar 14, 2024",10:00p,Portland Trail Blazers,W,105,93,39,27,W 2,17768,2:05,2024,NYK
69,67,"Sat, Mar 16, 2024",10:00p,Sacramento Kings,W,98,91,40,27,W 3,18311,2:21,2024,NYK
70,68,"Mon, Mar 18, 2024",10:00p,Golden State Warriors,W,119,112,41,27,W 4,18064,2:18,2024,NYK
71,69,"Thu, Mar 21, 2024",9:00p,Denver Nuggets,L,100,113,41,28,L 1,19811,2:13,2024,NYK
72,70,"Sat, Mar 23, 2024",1:00p,Brooklyn Nets,W,105,93,42,28,W 1,19812,2:00,2024,NYK
73,71,"Mon, Mar 25, 2024",7:30p,Detroit Pistons,W,124,99,43,28,W 2,19812,2:11,2024,NYK
74,72,"Wed, Mar 27, 2024",7:30p,Toronto Raptors,W,145,101,44,28,W 3,19133,2:06,2024,NYK
75,73,"Fri, Mar 29, 2024",8:00p,San Antonio Spurs,L,126,130,44,29,L 1,18604,2:37,2024,NYK
76,74,"Sun, Mar 31, 2024",7:00p,Oklahoma City Thunder,L,112,113,44,30,L 2,19812,2:33,2024,NYK
77,75,"Tue, Apr 2, 2024",7:30p,Miami Heat,L,99,109,44,31,L 3,19857,2:16,2024,NYK
78,76,"Thu, Apr 4, 2024",7:30p,Sacramento Kings,W,120,109,45,31,W 1,19812,2:28,2024,NYK
79,77,"Fri, Apr 5, 2024",8:00p,Chicago Bulls,L,100,108,45,32,L 1,21599,2:17,2024,NYK
80,78,"Sun, Apr 7, 2024",7:00p,Milwaukee Bucks,W,122,109,46,32,W 1,17536,2:15,2024,NYK
81,79,"Tue, Apr 9, 2024",8:00p,Chicago Bulls,W,128,117,47,32,W 2,21648,2:12,2024,NYK
82,80,"Thu, Apr 11, 2024",7:30p,Boston Celtics,W,118,109,48,32,W 3,19156,2:04,2024,NYK
83,G,Date,Start (ET),Opponent,,Tm,Opp,W,L,Streak,Attend.,LOG,2024,NYK
84,81,"Fri, Apr 12, 2024",7:30p,Brooklyn Nets,W,111,107,49,32,W 4,19812,2:15,2024,NYK
85,82,"Sun, Apr 14, 2024",1:00p,Chicago Bulls,W,120,119,50,32,W 5,19812,2:35,2024,NYK
0,1,"Thu, Oct 26, 2023",7:30p,Philadelphia 76ers,W,118,117,1,0,W 1,17783,2:40,2024,MIL
1,2,"Sun, Oct 29, 2023",7:00p,Atlanta Hawks,L,110,127,1,1,L 1,17341,2:15,2024,MIL
2,3,"Mon, Oct 30, 2023",8:00p,Miami Heat,W,122,114,2,1,W 1,17341,2:24,2024,MIL
3,4,"Wed, Nov 1, 2023",7:00p,Toronto Raptors,L,111,130,2,2,L 1,19800,2:19,2024,MIL
4,5,"Fri, Nov 3, 2023",7:30p,New York Knicks,W,110,105,3,2,W 1,17717,2:37,2024,MIL
5,6,"Mon, Nov 6, 2023",7:30p,Brooklyn Nets,W,129,125,4,2,W 2,17935,2:20,2024,MIL
6,7,"Wed, Nov 8, 2023",8:00p,Detroit Pistons,W,120,118,5,2,W 3,17341,2:20,2024,MIL
7,8,"Thu, Nov 9, 2023",7:00p,Indiana Pacers,L,124,126,5,3,L 1,14648,2:25,2024,MIL
8,9,"Sat, Nov 11, 2023",6:00p,Orlando Magic,L,97,112,5,4,L 2,19354,2:25,2024,MIL
9,10,"Mon, Nov 13, 2023",8:00p,Chicago Bulls,W,118,109,6,4,W 1,17865,2:16,2024,MIL
10,11,"Wed, Nov 15, 2023",7:30p,Toronto Raptors,W,128,112,7,4,W 2,19800,2:15,2024,MIL
11,12,"Fri, Nov 17, 2023",7:00p,Charlotte Hornets,W,130,99,8,4,W 3,19258,2:09,2024,MIL
12,13,"Sat, Nov 18, 2023",8:00p,Dallas Mavericks,W,132,125,9,4,W 4,18128,2:07,2024,MIL
13,14,"Mon, Nov 20, 2023",7:00p,Washington Wizards,W,142,129,10,4,W 5,17746,2:05,2024,MIL
14,15,"Wed, Nov 22, 2023",7:30p,Boston Celtics,L,116,119,10,5,L 1,19156,2:13,2024,MIL
15,16,"Fri, Nov 24, 2023",8:00p,Washington Wizards,W,131,128,11,5,W 1,17880,2:20,2024,MIL
