,Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,No.,Ht,Wt,Birth Date,Birth,Exp,College,Season,Team
0,1.0,Jayson Tatum,25.0,PF,74,74,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,"MVP-6,CPOY-9,AS,NBA1",0,6-8,210,"March 3, 1998",us US,6,Duke,2024,BOS
1,2.0,Jaylen Brown,27.0,SF,70,70,33.5,9.0,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23.0,AS,7,6-6,223,"October 24, 1996",us US,7,California,2024,BOS
2,3.0,Jrue Holiday,33.0,PG,69,69,32.8,4.8,10.0,0.48,2.0,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1.0,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5,DPOY-6,4,6-4,205,"June 12, 1990",us US,14,UCLA,2024,BOS
3,4.0,Derrick White,29.0,SG,73,73,32.6,5.3,11.5,0.461,2.7,6.8,0.396,2.6,4.7,0.555,0.578,1.9,2.1,0.901,0.7,3.5,4.2,5.2,1.0,1.2,1.5,2.1,15.2,DPOY-8,9,6-4,190,"July 2, 1994",us US,6,"Colorado-Colorado Springs, Colorado",2024,BOS
4,5.0,Kristaps PorziÅÄ£is,28.0,C,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2.0,0.7,1.9,1.6,2.7,20.1,,8,7-2,240,"August 2, 1995",lv LV,7,,2024,BOS
5,6.0,Al Horford,37.0,C,65,33,26.8,3.3,6.4,0.511,1.7,4.0,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1.0,0.7,1.4,8.6,,42,6-9,240,"June 3, 1986",do DO,16,Florida,2024,BOS
6,7.0,Payton Pritchard,26.0,PG,82,5,22.3,3.6,7.7,0.468,1.8,4.7,0.385,1.8,3.1,0.593,0.583,0.6,0.7,0.821,0.9,2.4,3.2,3.4,0.5,0.1,0.7,1.3,9.6,,11,6-1,195,"January 28, 1998",us US,3,Oregon,2024,BOS
7,8.0,Sam Hauser,26.0,SF,79,13,22.0,3.2,7.1,0.446,2.5,5.9,0.424,0.7,1.2,0.559,0.623,0.2,0.2,0.895,0.6,2.9,3.5,1.0,0.5,0.3,0.4,1.3,9.0,,30,6-8,215,"December 8, 1997",us US,2,"Marquette, Virginia",2024,BOS
8,9.0,Luke Kornet,28.0,C,63,7,15.6,2.3,3.2,0.7,0.0,0.0,1.0,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1.0,0.3,1.2,5.3,,40,7-2,250,"July 15, 1995",us US,6,Vanderbilt,2024,BOS
9,10.0,Xavier Tillman Sr.,25.0,PF,20,2,13.7,1.7,3.3,0.515,0.4,1.4,0.286,1.3,1.9,0.684,0.576,0.2,0.4,0.571,0.7,2.0,2.7,1.0,0.5,0.5,0.3,0.8,4.0,,26,6-8,245,"January 12, 1999",us US,3,Michigan State,2024,BOS
10,11.0,Neemias Queta,24.0,C,28,0,11.9,2.4,3.7,0.644,0.0,0.0,,2.4,3.7,0.644,0.644,0.7,1.0,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,,88,7-0,245,"July 13, 1999",pt PT,2,Utah State University,2024,BOS
11,12.0,Oshae Brissett,25.0,SF,55,1,11.5,1.2,2.8,0.444,0.3,1.0,0.273,1.0,1.8,0.541,0.493,0.9,1.5,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,1.0,3.7,,12,6-7,210,"June 20, 1998",ca CA,4,Syracuse,2024,BOS
12,13.0,Svi Mykhailiuk,26.0,SF,41,2,10.1,1.4,3.3,0.416,1.0,2.6,0.389,0.4,0.7,0.517,0.569,0.1,0.2,0.667,0.3,1.0,1.2,0.9,0.3,0.0,0.3,0.5,4.0,,50,6-7,205,"June 10, 1997",ua UA,5,Kansas,2024,BOS
13,14.0,Jordan Walsh,19.0,SF,9,1,9.2,0.7,1.7,0.4,0.2,1.0,0.222,0.4,0.7,0.667,0.467,0.1,0.2,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.3,1.2,1.7,,27,6-7,205,"March 3, 2004",us US,R,Arkansas,2024,BOS
14,15.0,Drew Peterson,24.0,PF,3,0,7.7,1.3,2.0,0.667,1.0,1.7,0.6,0.3,0.3,1.0,0.917,0.0,0.0,,0.0,0.3,0.3,0.3,0.7,0.0,0.3,0.3,3.7,,13,6-9,205,"November 9, 1999",us US,R,"Rice University, USC",2024,BOS
15,16.0,Jaden Springer,21.0,SG,17,1,7.6,0.8,1.8,0.433,0.1,0.6,0.182,0.6,1.1,0.579,0.467,0.4,0.5,0.875,0.5,0.7,1.2,0.5,0.6,0.2,0.5,1.0,2.1,,44,6-4,204,"September 25, 2002",us US,2,Tennessee,2024,BOS
16,17.0,Dalano Banton,24.0,PG,24,1,7.1,0.8,2.1,0.373,0.1,0.7,0.125,0.7,1.5,0.486,0.392,0.7,0.8,0.8,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3,,45,6-9,204,"November 7, 1999",ca CA,2,Nebraska,2024,BOS
17,18.0,Lamar Stevens,26.0,PF,19,1,6.4,1.1,2.4,0.467,0.2,0.4,0.375,0.9,1.9,0.486,0.5,0.4,0.6,0.727,0.6,1.0,1.6,0.4,0.3,0.3,0.5,0.7,2.8,,77,6-6,230,"July 9, 1997",us US,3,Penn State,2024,BOS
18,19.0,JD Davison,21.0,SG,8,0,4.9,0.6,1.5,0.417,0.4,0.9,0.429,0.3,0.6,0.4,0.542,0.4,0.5,0.75,0.3,1.0,1.3,1.3,0.1,0.1,0.3,0.5,2.0,,20,6-1,195,"October 3, 2002",us US,1,Alabama,2024,BOS
