G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
1,2024-10-23,7:30p,Away,Toronto Raptors,W,136,106,1,0,W 1,19800,2:18,2024,CLE
2,2024-10-25,7:30p,Home,Detroit Pistons,W,113,101,2,0,W 2,19432,2:10,2024,CLE
3,2024-10-26,7:00p,Away,Washington Wizards,W,135,116,3,0,W 3,15156,2:23,2024,CLE
4,2024-10-28,7:30p,Away,New York Knicks,W,110,104,4,0,W 4,19812,2:23,2024,CLE
5,2024-10-30,7:00p,Home,Los Angeles Lakers,W,134,110,5,0,W 5,19432,2:07,2024,CLE
6,2024-11-01,7:00p,Home,Orlando Magic,W,120,109,6,0,W 6,19432,2:20,2024,CLE
7,2024-11-02,8:00p,Away,Milwaukee Bucks,W,114,113,7,0,W 7,17341,2:15,2024,CLE
8,2024-11-04,7:00p,Home,Milwaukee Bucks,W,116,114,8,0,W 8,19432,2:02,2024,CLE
9,2024-11-06,8:00p,Away,New Orleans Pelicans,W,131,122,9,0,W 9,15694,2:11,2024,CLE
10,2024-11-08,7:30p,Home,Golden State Warriors,W,136,117,10,0,W 10,19432,2:10,2024,CLE
11,2024-11-09,7:30p,Home,Brooklyn Nets,W,105,100,11,0,W 11,19432,2:17,2024,CLE
12,2024-11-11,8:00p,Away,Chicago Bulls,W,119,113,12,0,W 12,20560,2:06,2024,CLE
13,2024-11-13,7:30p,Away,Philadelphia 76ers,W,114,106,13,0,W 13,19777,1:59,2024,CLE
14,2024-11-15,7:30p,Home,Chicago Bulls,W,144,126,14,0,W 14,19432,2:11,2024,CLE
15,2024-11-17,6:00p,Home,Charlotte Hornets,W,128,114,15,0,W 15,19432,2:16,2024,CLE
16,2024-11-19,7:00p,Away,Boston Celtics,L,117,120,15,1,L 1,19156,2:16,2024,CLE
17,2024-11-20,7:30p,Home,New Orleans Pelicans,W,128,100,16,1,W 1,19432,1:59,2024,CLE
18,2024-11-24,7:30p,Home,Toronto Raptors,W,122,108,17,1,W 2,19432,2:17,2024,CLE
19,2024-11-27,7:00p,Home,Atlanta Hawks,L,124,135,17,2,L 1,19432,2:18,2024,CLE
20,2024-11-29,2:30p,Away,Atlanta Hawks,L,101,117,17,3,L 2,17881,2:12,2024,CLE
21,2024-12-01,6:00p,Home,Boston Celtics,W,115,111,18,3,W 1,19432,2:16,2024,CLE
22,2024-12-03,7:00p,Home,Washington Wizards,W,118,87,19,3,W 2,19432,2:09,2024,CLE
23,2024-12-05,7:00p,Home,Denver Nuggets,W,126,114,20,3,W 3,19432,2:05,2024,CLE
24,2024-12-07,1:00p,Away,Charlotte Hornets,W,116,102,21,3,W 4,18832,2:14,2024,CLE
25,2024-12-08,6:00p,Away,Miami Heat,L,113,122,21,4,L 1,19600,,2024,CLE
26,2024-12-13,7:00p,Home,Washington Wizards,W,115,105,22,4,W 1,19432,2:15,2024,CLE
27,2024-12-16,7:30p,Away,Brooklyn Nets,W,130,101,23,4,W 2,16588,2:18,2024,CLE
28,2024-12-20,7:30p,Home,Milwaukee Bucks,W,124,101,24,4,W 3,19432,2:03,2024,CLE
29,2024-12-21,8:00p,Home,Philadelphia 76ers,W,126,99,25,4,W 4,19432,2:06,2024,CLE
30,2024-12-23,7:00p,Home,Utah Jazz,W,124,113,26,4,W 5,19432,2:09,2024,CLE
31,2024-12-27,9:00p,Away,Denver Nuggets,W,149,135,27,4,W 6,19952,2:14,2024,CLE
32,2024-12-30,10:00p,Away,Golden State Warriors,W,113,95,28,4,W 7,18064,2:10,2024,CLE
