,Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,No.,Ht,Wt,Birth Date,Birth,Exp,College,Season,Team
0,1.0,Donovan Mitchell,28.0,SG,71,71,31.4,8.2,18.6,0.443,3.3,8.9,0.368,5.0,9.7,0.512,0.531,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,,45,6-3,215.0,"September 7, 1996",us US,7,Louisville,2024,CLE
1,2.0,Darius Garland,25.0,PG,75,75,30.7,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3.0,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,,10,6-1,192.0,"January 26, 2000",us US,5,Vanderbilt,2024,CLE
2,3.0,Evan Mobley,23.0,PF,71,71,30.5,7.1,12.8,0.557,1.2,3.2,0.37,5.9,9.5,0.621,0.604,3.1,4.3,0.725,2.3,7.0,9.3,3.2,0.9,1.6,2.0,2.0,18.5,,4,6-11,215.0,"June 18, 2001",us US,3,USC,2024,CLE
3,4.0,Jarrett Allen,26.0,C,82,82,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,31,6-11,243.0,"April 21, 1998",us US,7,Texas,2024,CLE
4,5.0,Max Strus,28.0,SF,50,37,25.5,3.3,7.5,0.442,2.3,5.9,0.386,1.0,1.6,0.65,0.594,0.6,0.7,0.824,1.1,3.3,4.3,3.2,0.5,0.2,1.1,2.1,9.4,,1,6-5,215.0,"March 28, 1996",us US,5,"Lewis (IL), DePaul",2024,CLE
5,6.0,De'Andre Hunter,27.0,SF,27,5,25.0,4.9,10.0,0.485,2.2,5.2,0.426,2.6,4.8,0.55,0.596,2.4,2.9,0.821,0.6,3.6,4.2,1.3,0.7,0.3,0.9,2.5,14.3,,12,6-8,225.0,"December 2, 1997",us US,5,Virginia,2024,CLE
6,8.0,Dean Wade,28.0,PF,59,30,21.2,1.9,4.6,0.413,1.4,3.8,0.36,0.5,0.8,0.653,0.561,0.3,0.5,0.533,0.9,3.4,4.2,1.3,0.7,0.3,0.4,1.7,5.4,,32,6-9,228.0,"November 20, 1996",us US,5,Kansas State,2024,CLE
7,10.0,Ty Jerome,27.0,SG,70,3,19.9,4.6,8.8,0.516,1.6,3.6,0.439,3.0,5.2,0.57,0.606,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0.0,1.3,1.5,12.5,,2,6-5,195.0,"July 8, 1997",us US,5,Virginia,2024,CLE
8,11.0,Sam Merrill,28.0,SG,71,4,19.7,2.4,6.0,0.406,1.9,5.2,0.372,0.5,0.8,0.625,0.567,0.4,0.4,0.966,0.5,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.2,,5,6-4,205.0,"May 15, 1996",us US,4,Utah State University,2024,CLE
9,12.0,Isaac Okoro,24.0,SG,55,22,19.1,2.3,4.9,0.464,1.0,2.7,0.371,1.2,2.1,0.586,0.569,0.6,0.8,0.717,0.9,1.5,2.4,1.2,0.6,0.3,0.4,1.9,6.1,,35,6-5,225.0,"January 26, 2001",us US,4,Auburn,2024,CLE
10,14.0,Chuma Okeke,26.0,PF,2,0,12.5,1.0,3.5,0.286,0.5,3.0,0.167,0.5,0.5,1.0,0.357,0.0,0.0,,0.5,1.5,2.0,1.0,0.0,0.5,0.0,0.0,2.5,,18,6-6,229.0,"August 18, 1998",us US,4,Auburn,2024,CLE
11,15.0,Craig Porter Jr.,24.0,PG,51,1,10.1,1.4,2.7,0.514,0.4,0.9,0.438,1.0,1.8,0.554,0.589,0.5,0.6,0.719,0.4,0.9,1.3,1.4,0.3,0.3,0.7,0.5,3.7,,9,6-2,186.0,"February 26, 2000",us US,1,"Vincennes University, Wichita State",2024,CLE
12,16.0,Jaylon Tyson,22.0,SG,47,3,9.6,1.4,3.2,0.43,0.4,1.2,0.345,0.9,1.9,0.484,0.497,0.4,0.5,0.792,0.8,1.3,2.0,0.9,0.3,0.1,0.6,1.1,3.6,,24,6-6,215.0,"December 2, 2002",us US,R,"Texas, Texas Tech, California",2024,CLE
13,17.0,Javonte Green,31.0,SG,18,1,9.2,1.3,3.5,0.365,0.4,1.8,0.242,0.8,1.7,0.5,0.429,0.3,0.6,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.2,1.2,3.3,,8,6-4,205.0,"July 23, 1993",us US,5,Radford,2024,CLE
14,18.0,Tristan Thompson,33.0,C,40,0,8.2,0.8,1.8,0.437,0.0,0.1,0.0,0.8,1.7,0.456,0.437,0.2,0.8,0.233,0.8,2.6,3.4,0.6,0.1,0.3,0.4,0.9,1.7,,13,6-9,254.0,"March 13, 1991",ca CA,13,Texas,2024,CLE
0,1.0,Jayson Tatum,26.0,PF,72,72,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,,0,6-8,210.0,"March 3, 1998",us US,7,Duke,2024,BOS
1,2.0,Jaylen Brown,28.0,SF,63,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,,7,6-6,223.0,"October 24, 1996",us US,8,California,2024,BOS
2,3.0,Derrick White,30.0,SG,76,76,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,,9,6-4,190.0,"July 2, 1994",us US,7,"Colorado-Colorado Springs, Colorado",2024,BOS
3,4.0,Jrue Holiday,34.0,PG,62,62,30.6,4.1,9.2,0.443,1.7,4.9,0.353,2.4,4.3,0.547,0.538,1.1,1.2,0.909,1.2,3.0,4.3,3.9,1.1,0.4,1.2,1.6,11.1,,4,6-4,205.0,"June 12, 1990",us US,15,UCLA,2024,BOS
4,5.0,Kristaps PorziÅÄ£is,29.0,C,42,42,28.8,6.6,13.7,0.483,2.5,6.0,0.412,4.1,7.7,0.537,0.572,3.8,4.7,0.809,1.6,5.1,6.8,2.1,0.7,1.5,1.3,2.8,19.5,,8,7-2,240.0,"August 2, 1995",lv LV,8,,2024,BOS
5,6.0,Payton Pritchard,27.0,PG,80,3,28.4,5.1,10.8,0.472,3.2,7.8,0.407,1.9,3.0,0.642,0.62,0.9,1.1,0.845,1.3,2.6,3.8,3.5,0.9,0.2,1.0,1.5,14.3,,11,6-1,195.0,"January 28, 1998",us US,4,Oregon,2024,BOS
6,7.0,Al Horford,38.0,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9.0,,42,6-9,240.0,"June 3, 1986",do DO,17,Florida,2024,BOS
7,8.0,Sam Hauser,27.0,PF,71,19,21.7,3.0,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1.0,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,30,6-8,215.0,"December 8, 1997",us US,3,"Marquette, Virginia",2024,BOS
8,9.0,Luke Kornet,29.0,C,73,16,18.6,2.6,3.8,0.668,0.0,0.0,0.0,2.6,3.8,0.675,0.668,0.9,1.3,0.691,2.6,2.7,5.3,1.6,0.5,1.0,0.4,1.6,6.0,,40,7-2,250.0,"July 15, 1995",us US,7,Vanderbilt,2024,BOS
9,10.0,Neemias Queta,25.0,C,62,6,13.9,2.1,3.3,0.65,0.0,0.0,0.0,2.1,3.2,0.66,0.65,0.7,1.0,0.754,1.4,2.4,3.8,0.7,0.3,0.7,0.6,1.7,5.0,,88,7-0,245.0,"July 13, 1999",pt PT,3,Utah State University,2024,BOS
